source,medium,title,url,date,verdict,label,country,keywords
PolitiFact,fact-check,Donald Trump,https://www.politifact.com/personalities/donald-trump/,,“DOGE halts yearly payment of $2.5 million to Barack Obama for ‘royalties linked to Obamacare.’”,Fake,USA,"donald, trump"
PolitiFact,fact-check,Anderson Clayton,https://www.politifact.com/personalities/anderson-clayton/,,“North Carolina teachers are already the lowest paid teachers in the south.”,Fake,USA,"anderson, clayton"
PolitiFact,fact-check,X posts,https://www.politifact.com/personalities/tweets/,,“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,Fake,USA,"x, posts"
PolitiFact,fact-check,Nancy Mace,https://www.politifact.com/personalities/nancy-mace/,,New York City Mayor-elect Zohran Mamdani “is bringing Sharia law to America.”,Fake,USA,"nancy, mace"
PolitiFact,fact-check,Elon Musk,https://www.politifact.com/personalities/elon-musk/,,“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,Fake,USA,"elon, musk"
PolitiFact,fact-check,JB Pritzker,https://www.politifact.com/personalities/jb-pritzker/,,"The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",Fake,USA,"jb, pritzker"
PolitiFact,fact-check,Kristi Noem,https://www.politifact.com/personalities/kristi-noem/,,“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,Fake,USA,"kristi, noem"
PolitiFact,fact-check,Ron DeSantis,https://www.politifact.com/personalities/ron-desantis/,,"In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",Fake,USA,"ron, desantis"
PolitiFact,fact-check,Stephen Miller,https://www.politifact.com/personalities/stephen-miller/,,"“To all ICE officers, you have federal immunity in the conduct of your duties.”",Fake,USA,"stephen, miller"
PolitiFact,fact-check,Social Media,https://www.politifact.com/personalities/social-media/,,Walmart will close to in-store shoppers and allow only online orders and curbside pickup starting Nov. 1 because of an expected Supplemental Nutrition Assistance Program funding lapse.,Fake,USA,"social, media"
PolitiFact,fact-check,Scott Bessent,https://www.politifact.com/personalities/scott-bessent/,"By Paul Specht • November 8, 2025","""Overall, the inflation since President Trump” took office “has come down.""",Fake,USA,"scott, bessent"
PolitiFact,fact-check,The Ronald Reagan Presidential Foundation and Institute,https://www.politifact.com/personalities/ronald-reagan-presidential-foundation-and-institut/,"By Louis Jacobson • October 24, 2025","An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",Fake,USA,"the, ronald, reagan, presidential, foundation, and, institute"
PolitiFact,fact-check,Hakeem Jeffries,https://www.politifact.com/personalities/hakeem-jeffries/,"By Louis Jacobson • October 24, 2025","“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",Fake,USA,"hakeem, jeffries"
PolitiFact,fact-check,Rand Paul,https://www.politifact.com/personalities/rand-paul/,"By Maria Briceño • October 16, 2025","“About 25% of the time the Coast Guard boards a ship, there are no drugs.”",Fake,USA,"rand, paul"
PolitiFact,fact-check,JD Vance,https://www.politifact.com/personalities/jd-vance/,"By Natalie Ribar • October 15, 2025","""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",Fake,USA,"jd, vance"
PolitiFact,fact-check,Ted Cruz,https://www.politifact.com/personalities/ted-cruz/,"By Arielle Zionts • October 13, 2025",Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,Fake,USA,"ted, cruz"
PolitiFact,fact-check,Darren Soto,https://www.politifact.com/personalities/darren-soto/,"By Maria Briceño • October 9, 2025",Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,Fake,,"darren, soto"
PolitiFact,fact-check,Tricia McLaughlin,https://www.politifact.com/personalities/tricia-mclaughlin/,"By Louis Jacobson • September 17, 2025",Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,Fake,,"tricia, mclaughlin"
PolitiFact,fact-check,Dan Koh,https://www.politifact.com/personalities/dan-koh/,"By Will Doran • September 12, 2025","As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",Fake,,"dan, koh"
PolitiFact,fact-check,James Clyburn,https://www.politifact.com/personalities/james-clyburn/,"By Louis Jacobson • September 9, 2025","“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",Fake,,"james, clyburn"
PolitiFact,fact-check,West Virginians For Health Freedom,https://www.politifact.com/personalities/west-virginians-for-health-freedom/,"By Hope Karnopp • August 15, 2025",“Vaccine makers are exempt from all liability for vaccine injury and death.”,Fake,,"west, virginians, for, health, freedom"
PolitiFact,fact-check,Robert F. Kennedy Jr.,https://www.politifact.com/personalities/robert-f-kennedy-jr/,"By Madison Czopek • July 29, 2025",“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,Fake,,"robert, f., kennedy, jr."
PolitiFact,fact-check,Instagram posts,https://www.politifact.com/personalities/instagram-posts/,"By Amy Sherman • July 28, 2025","“El CEO de Coca-Cola, James Quincey, lanzó un ultimátum contundente: cancelen la actuación de Bad Bunny en el Super Bowl o la marca terminará su patrocinio del evento.”",Fake,,"instagram, posts"
PolitiFact,fact-check,Mike Johnson,https://www.politifact.com/personalities/mike-johnson/,"By Gabrielle Lazor • July 24, 2025","“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",Fake,,"mike, johnson"
PolitiFact,fact-check,Josh Hawley,https://www.politifact.com/personalities/josh-hawley/,"By Louis Jacobson • July 21, 2025",“The FBI tapped my phone” and those of other senators.,Fake,,"josh, hawley"
PolitiFact,fact-check,Rick Scott,https://www.politifact.com/personalities/rick-scott/,"By Louis Jacobson • June 27, 2025",Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,Fake,,"rick, scott"
PolitiFact,fact-check,Amy Klobuchar,https://www.politifact.com/personalities/amy-klobuchar/,"By Ella Moore • June 27, 2025","People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",Fake,,"amy, klobuchar"
PolitiFact,fact-check,Robert Ortt,https://www.politifact.com/personalities/robert-ortt/,"By Loreben Tuquero • June 24, 2025","During Gov. Hochul’s tenure, there has been “more crime on our streets.”",Fake,,"robert, ortt"
PolitiFact,fact-check,Sean Hannity,https://www.politifact.com/personalities/sean-hannity/,"By Louis Jacobson • May 21, 2025","There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Fake,,"sean, hannity"
PolitiFact,fact-check,Katherine Clark,https://www.politifact.com/personalities/katherine-clark/,"By Amy Sherman • May 7, 2025",“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,Fake,,"katherine, clark"
PolitiFact,fact-check,Michael Whatley,https://www.politifact.com/personalities/michael-whatley/,"By Louis Jacobson • May 5, 2025",Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Fake,,"michael, whatley"
PolitiFact,fact-check,U.S. Energy Department,https://www.politifact.com/personalities/us-energy-department/,"By Paul Specht • April 24, 2025","“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",Fake,,"u.s., energy, department"
PolitiFact,fact-check,TikTok posts,https://www.politifact.com/personalities/tiktok-posts/,"By Loreben Tuquero • April 22, 2025",Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,Fake,,"tiktok, posts"
PolitiFact,fact-check,Joseph Ladapo,https://www.politifact.com/personalities/joseph-ladapo/,"By Grace Abels • April 1, 2025",Every school vaccine mandate “drips” with “slavery.”,Fake,,"joseph, ladapo"
PolitiFact,fact-check,James Uthmeier,https://www.politifact.com/personalities/james-uthmeier/,"By Jeff Cercone • March 21, 2025",The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,Fake,,"james, uthmeier"
PolitiFact,fact-check,Chris Murphy,https://www.politifact.com/personalities/chris-murphy/,"By Louis Jacobson • March 20, 2025","Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",Fake,,"chris, murphy"
PolitiFact,fact-check,Gavin Newsom,https://www.politifact.com/personalities/gavin-newsom/,"By Hope Karnopp • March 11, 2025",“Democrats have voted for national independent redistricting. Republicans have not.”,Fake,,"gavin, newsom"
PolitiFact,fact-check,Americans for Prosperity,https://www.politifact.com/personalities/americans-prosperity/,"By D.L. Davis • March 3, 2025",“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,Fake,,"americans, for, prosperity"
PolitiFact,fact-check,Threads posts,https://www.politifact.com/personalities/threads-posts/,"By Madison Czopek • February 9, 2025",The official U.S. government website erased sections of the U.S. Constitution without amending it.,Fake,,"threads, posts"
PolitiFact,fact-check,John Blust,https://www.politifact.com/personalities/john-blust/,"By Caleb McCullough • January 21, 2025",“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,Fake,,"john, blust"
PolitiFact,fact-check,Ken Martin,https://www.politifact.com/personalities/ken-martin/,"By Caleb McCullough • January 14, 2025",Texas Republicans held one hearing on flood response but eight hearings on redistricting,Fake,,"ken, martin"
PolitiFact,fact-check,Josh Stein,https://www.politifact.com/personalities/josh-stein/,,“Guns are the leading cause of death for children in North Carolina.”,Fake,,"josh, stein"
PolitiFact,fact-check,Francesca Hong,https://www.politifact.com/personalities/francesca-hong/,,“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Fake,France,"francesca, hong"
PolitiFact,fact-check,Benjamin Netanyahu,https://www.politifact.com/personalities/benjamin-netanyahu/,,“There is no starvation in Gaza.”,Fake,,"benjamin, netanyahu"
PolitiFact,fact-check,Markwayne Mullin,https://www.politifact.com/personalities/markwayne-mullin/,,The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Fake,,"markwayne, mullin"
PolitiFact,fact-check,Ritchie Torres,https://www.politifact.com/personalities/ritchie-torres/,,"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",Fake,,"ritchie, torres"
PolitiFact,fact-check,U.S. Trade Representative,https://www.politifact.com/personalities/us-trade-representative/,,"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",Fake,,"u.s., trade, representative"
PolitiFact,fact-check,Howard Lutnick,https://www.politifact.com/personalities/howard-lutnick/,,Tariffs are “going to pay off our deficit.”,Fake,,"howard, lutnick"
PolitiFact,fact-check,Lori Chavez-DeRemer,https://www.politifact.com/personalities/lori-chavez-deremer/,,"Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",Fake,,"lori, chavez-deremer"
PolitiFact,fact-check,Kevin Hassett,https://www.politifact.com/personalities/kevin-hassett/,,"A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",Fake,,"kevin, hassett"
PolitiFact,fact-check,Jon Favreau,https://www.politifact.com/personalities/jon-favreau/,,"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",Fake,,"jon, favreau"
PolitiFact,fact-check,Scott Jennings,https://www.politifact.com/personalities/scott-jennings/,,Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,Fake,,"scott, jennings"
PolitiFact,fact-check,Elizabeth Warren,https://www.politifact.com/personalities/elizabeth-warren/,,"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",Fake,,"elizabeth, warren"
PolitiFact,fact-check,Occupy Democrats,https://www.politifact.com/personalities/occupy-democrats/,,"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",Fake,,"occupy, democrats"
PolitiFact,fact-check,John Thune,https://www.politifact.com/personalities/john-thune/,,"“A lot of times, health care comes with a job.”",Fake,,"john, thune"
PolitiFact,fact-check,Facebook posts,https://www.politifact.com/personalities/facebook-posts/,,“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,Fake,,"facebook, posts"
PolitiFact,fact-check,Josh Schoemann,https://www.politifact.com/personalities/josh-schoemann/,,"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",Fake,,"josh, schoemann"
PolitiFact,fact-check,American Action Network,https://www.politifact.com/personalities/american-action-network/,,The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,Fake,,"american, action, network"
PolitiFact,fact-check,Mike Lee,https://www.politifact.com/personalities/mike-lee/,,The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,Fake,,"mike, lee"
PolitiFact,fact-check,Liz Oyer,https://www.politifact.com/personalities/liz-oyer/,,“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,Fake,,"liz, oyer"
PolitiFact,fact-check,Russell Vought,https://www.politifact.com/personalities/russell-vought/,,“One out of every $5 or $6 in Medicaid (payments) is improper.”,Fake,,"russell, vought"
PolitiFact,fact-check,Kathy Hochul,https://www.politifact.com/personalities/kathy-hochul/,,The state budget contains the largest middle class tax cut in 70 years.,Fake,,"kathy, hochul"
PolitiFact,fact-check,Viral image,https://www.politifact.com/personalities/viral-image/,,Image shows Ben & Jerry’s is selling “Free Palestine” and “From the River to Sea” ice cream flavors.,Fake,,"viral, image"
PolitiFact,fact-check,Brenden Jones,https://www.politifact.com/personalities/brenden-jones/,,“Contractors are being rejected” from providing Hurricane Helene relief in North Carolina because of racial “quotas” required by the state.,Fake,,"brenden, jones"
PolitiFact,fact-check,Karoline Leavitt,https://www.politifact.com/personalities/karoline-leavitt/,,President Donald Trump’s tax and spending bill “does not add to the deficit.”,Fake,,"karoline, leavitt"
PolitiFact,fact-check,Robert Reich,https://www.politifact.com/personalities/robert-reich/,,"While serving in Congress, Transportation Secretary Sean Duffy “voted against upgrading air traffic control systems.”",Fake,,"robert, reich"
PolitiFact,fact-check,Bernie Sanders,https://www.politifact.com/personalities/bernie-sanders/,,"“Republicans just unveiled their ‘big, beautiful bill,’ which will take Medicaid & health insurance away from 13.7 million Americans.”",Fake,,"bernie, sanders"
PolitiFact,fact-check,Alex Jones,https://www.politifact.com/personalities/alex-jones/,,"Un vídeo muestra al presidente francés, Emmanuel Macron, al primer ministro del Reino Unido, Keir Starmer, y al canciller alemán, Friedrich Merz, con una bolsa de cocaína tras visitar al presidente ucraniano, Volodymyr Zelenskyy.",Fake,,"alex, jones"
PolitiFact,fact-check,Marcia Morey,https://www.politifact.com/personalities/marcia-morey/,,“Google caved in to Trump. They erased Black History Month from the calendar.”,Fake,,"marcia, morey"
PolitiFact,fact-check,Pam Bondi,https://www.politifact.com/personalities/pam-bondi/,,"En los primeros 100 días del presidente Donald Trump, las incautaciones de fentanilo salvaron entre ""119 millones"" y ""258 millones"" de vidas.",Fake,,"pam, bondi"
PolitiFact,fact-check,Charles Blow,https://www.politifact.com/personalities/charles-blow/,,“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,Fake,,"charles, blow"
PolitiFact,fact-check,Jared Moskowitz,https://www.politifact.com/personalities/jared-moskowitz/,,Canadian tourism to Florida has declined by 80%.,Fake,,"jared, moskowitz"
PolitiFact,fact-check,Eric Swalwell,https://www.politifact.com/personalities/eric-swalwell/,,"""Republicans just voted in the House Judiciary Committee to allow Trump to DEPORT U.S. citizens to a foreign country.""",Fake,,"eric, swalwell"
PolitiFact,fact-check,Pete Hegseth,https://www.politifact.com/personalities/pete-hegseth/,,"The federal government’s Women, Peace and Security program is a “Biden initiative.”",Fake,,"pete, hegseth"
PolitiFact,fact-check,Charles Schumer,https://www.politifact.com/personalities/charles-schumer/,,"“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”",Fake,,"charles, schumer"
PolitiFact,fact-check,Brian Tyler Cohen,https://www.politifact.com/personalities/brian-tyler-cohen/,,Trump “just denied North Carolina’s request for FEMA relief from Hurricane Helene.”,Fake,,"brian, tyler, cohen"
PolitiFact,fact-check,Moms Demand Action for Gun Sense In America,https://www.politifact.com/personalities/moms-demand-action-gun-sense-america/,,“Gun violence is the leading killer of college-aged people in the U.S.”,Fake,,"moms, demand, action, for, gun, sense, in, america"
PolitiFact,fact-check,Michael Lawler,https://www.politifact.com/personalities/michael-lawler/,,"“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”",Fake,,"michael, lawler"
PolitiFact,fact-check,Byron Donalds,https://www.politifact.com/personalities/byron-donalds/,,"Under the SAVE Act, “as long as you have a Real ID … it should be easy for you to register to vote.”",Fake,,"byron, donalds"
PolitiFact,fact-check,Tim Walz,https://www.politifact.com/personalities/tim-walz/,,"“Less than half of Americans have $1,000 in savings.”",Fake,,"tim, walz"
PolitiFact,fact-check,Brooke Rollins,https://www.politifact.com/personalities/brooke-rollins/,,“We had an agriculture export deficit that increased from zero when President Trump left to $49 billion” under former President Joe Biden.,Fake,,"brooke, rollins"
PolitiFact,fact-check,Ruben Gallego,https://www.politifact.com/personalities/ruben-gallego/,,Men “have the lowest college attainment rate ever.”,Fake,,"ruben, gallego"
PolitiFact,fact-check,Cory Booker,https://www.politifact.com/personalities/cory-booker/,,"""The consumer confidence in this country has gone way down.""",Fake,,"cory, booker"
PolitiFact,fact-check,Marjorie Taylor Greene,https://www.politifact.com/personalities/marjorie-taylor-greene/,,"On PBS, ""they now have drag queen storytime instead of good old ‘Sesame Street.’""",Fake,,"marjorie, taylor, greene"
PolitiFact,fact-check,Sydney Batch,https://www.politifact.com/personalities/sydney-batch/,,"North Carolina “always had nonpartisan judicial races, and when the Republicans took over several years ago they changed it.”",Fake,,"sydney, batch"
PolitiFact,fact-check,Susan Crawford,https://www.politifact.com/personalities/susan-crawford/,,"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",Fake,USA,"susan, crawford"
PolitiFact,fact-check,Nick LaLota,https://www.politifact.com/personalities/nick-lalota/,,"“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",Fake,,"nick, lalota"
PolitiFact,fact-check,Ian Miles Cheong,https://www.politifact.com/personalities/ian-miles-cheong/,,"Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",Fake,,"ian, miles, cheong"
PolitiFact,fact-check,Harriet Hageman,https://www.politifact.com/personalities/harriet-hageman/,,The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,Fake,,"harriet, hageman"
PolitiFact,fact-check,Ro Khanna,https://www.politifact.com/personalities/ro-khanna/,,“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,Fake,,"ro, khanna"
PolitiFact,fact-check,Brad Schimel,https://www.politifact.com/personalities/brad-schimel/,,“Eliminate school choice” is on Susan Crawford’s agenda.,Fake,,"brad, schimel"
PolitiFact,fact-check,A Better Wisconsin Together,https://www.politifact.com/personalities/better-wisconsin-together/,,“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,Fake,,"a, better, wisconsin, together"
PolitiFact,fact-check,Laura Loomer,https://www.politifact.com/personalities/laura-loomer/,,U.S. Agency for International Development subsidized CNN and MSNBC hosts’ salaries.,Fake,,"laura, loomer"
PolitiFact,fact-check,Larry Kudlow,https://www.politifact.com/personalities/larry-kudlow/,,Elon Musk’s Department of Government Efficiency is “polling very well. It’s very popular.”,Fake,,"larry, kudlow"
PolitiFact,fact-check,Cavalier Johnson,https://www.politifact.com/personalities/cavalier-johnson/,,"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",Fake,,"cavalier, johnson"
PolitiFact,fact-check,Joel Kitchens,https://www.politifact.com/personalities/joel-kitchens/,,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,Fake,,"joel, kitchens"
PolitiFact,fact-check,Kevin O'Leary,https://www.politifact.com/personalities/kevin-oleary/,,“We've never audited government for 100 years.”,Fake,,"kevin, o'leary"
PolitiFact,fact-check,Pete Buttigieg,https://www.politifact.com/personalities/pete-buttigieg/,,"“I am not making this up: Republicans have introduced legislation … to increase your bank fees.""",Fake,,"pete, buttigieg"
PolitiFact,fact-check,Patty Murray,https://www.politifact.com/personalities/patty-murray/,,“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,Fake,,"patty, murray"
PolitiFact,fact-check,Mario Nawfal,https://www.politifact.com/personalities/mario-nawfal/,,Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.,Fake,,"mario, nawfal"
PolitiFact,fact-check,Tommy Tuberville,https://www.politifact.com/personalities/tommy-tuberville/,,"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”",Fake,,"tommy, tuberville"
PolitiFact,fact-check,Marco Rubio,https://www.politifact.com/personalities/marco-rubio/,,On support for U.S. Agency for International Development,Fake,,"marco, rubio"
